Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate
480000,1.5373104,0.39873944895842933,836.1818181818181,0.14770177,0.026698684,0.9513679,0.3517351886805366,0.19179577194154263,7.478215838179869,0.016276011,0.03266874,0.0002860511,0.010932229,0.32239124,0.8997729,0.32692698,0.7080731
510000,1.5581794,-0.6030881691767718,933.8529411764706,0.03150327,0.023971055,0.83478236,-0.5910728086124767,0.20154202317423892,7.778133522380482,0.004631731,0.031074971,0.00028517767,0.010242912,0.3617288,0.8609652,0.30178282,0.7202856
540000,1.6321968,0.5714000761488731,796.6944444444445,0.15270042,0.023084017,0.8985408,0.5289404891632699,0.19432700364976316,7.280052075514922,0.00931732,0.033136204,0.00028425615,0.011202514,0.37373,0.883746,0.31960613,0.7125985
570000,1.6999053,0.4291282623274198,813.0512820512821,0.22924528,0.022431523,0.93320036,0.4667315185070038,0.17841337406762728,7.0927866003231,0.013231014,0.031543087,0.00028335364,0.010619663,0.40757087,0.89690727,0.32715753,0.7077828
600000,1.6750715,0.6724103191499569,787.7692307692307,0.20099881,0.020936368,0.8703311,0.6306049540638924,0.14445397441741079,6.329248096048832,0.009765135,0.03225475,0.00028245233,0.008548431,0.419529,0.8370601,0.29523808,0.72707623
630000,1.731737,0.08013553226614491,853.9677419354839,0.10210519,0.019932324,0.87115353,0.08013542813639488,0.17463189213266295,7.4824490028042945,0.009904201,0.032695446,0.00028155846,0.009628153,0.45372978,0.8576911,0.29842174,0.719389
660000,1.7381579,0.4330238611243355,806.047619047619,0.17502248,0.021061584,0.91278213,0.470409672434737,0.1717291209937596,6.756048847989338,0.0100122,0.03283266,0.00028066983,0.01012064,0.4677407,0.87139946,0.30521846,0.7068186
690000,1.8460191,0.9285314910916246,770.1142857142858,0.25543407,0.025565872,0.9282025,0.8721888247463438,0.16940295230597258,6.346318314472835,0.019225579,0.03529413,0.0002797748,0.010291302,0.49275038,0.8458134,0.29584968,0.7129405
720000,1.8405468,-0.5502847914044238,966.8181818181819,-0.010486956,0.023154367,0.6991389,-0.536243824288249,0.220443116966635,6.514505982398987,0.0075125247,0.03264248,0.0002788442,0.01105842,0.5479279,0.73396623,0.2482008,0.7434102
750000,1.8131726,1.0207948104687508,754.2105263157895,0.15322804,0.029916411,0.8487299,1.0208052302661694,0.1965083621050182,5.655119660653566,0.013475285,0.03196424,0.0002779461,0.012564839,0.4908861,0.81273335,0.27556816,0.7162862
