Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
1020000,0.08110016,2.1666000000039736,5.666333333333333,0.75282186,2.1667074119399583,0.13748819,0.05001045,0.000270321
1080000,0.06460484,2.1667666666706404,5.667,0.76388294,2.166614820580789,0.13878341,0.048514288,0.0002684715
1140000,0.03908312,2.166633333325386,5.666666666666667,0.7562632,2.1666777777671813,0.13767803,0.04760657,0.00026668367
1200000,0.044029187,2.1666000000039736,5.666333333333333,0.7649439,2.1667074119399583,0.13779306,0.049991045,0.00026489582
1260000,0.03700112,2.1667666666706404,5.667,0.7585727,2.166614820580789,0.13880584,0.05088558,0.00026310797
1320000,0.04475939,2.166633333325386,5.666666666666667,0.74463814,2.1666777777671813,0.13676095,0.050470863,0.00026132012
1380000,0.07236061,2.1665888888902134,5.666333333333333,0.76418346,2.1666962996047396,0.1392025,0.04938004,0.0002594706
1440000,0.071729034,2.1667666666706404,5.667,0.7381961,2.166614820580789,0.1358929,0.048042826,0.00025768275
1500000,0.06848922,2.194344271456278,5.722253331840071,0.7800416,2.193436379768088,0.18997331,0.049904857,0.0002558949
1560000,0.14976896,3.955730414007202,9.254019842627438,1.7716684,3.953641022841136,6.373539,0.046651483,0.00025410685
1620000,0.105143726,22.328176793143236,45.62588792423047,6.0047827,22.32310724422947,23.037985,0.046813663,0.00025231479
1680000,0.09381574,57.49312376952593,114.90176817288801,9.868213,57.49312373345868,26.767591,0.048329443,0.00025052077
1740000,0.107994184,47.89870759040743,95.98384491114702,13.998948,47.96488671540057,28.623173,0.05363001,0.00024872337
1800000,0.08708557,20.704970757776533,42.401315789473685,14.943555,20.69495980908524,38.982956,0.047038,0.0002468669
1860000,0.0887534,39.99931318476632,80.43681318681318,16.244425,40.041953199175396,32.174297,0.04778117,0.00024507244
1920000,0.09315988,64.11118420958519,127.91885964912281,19.233414,63.99059078495142,31.549042,0.046758883,0.00024327454
1980000,0.095209636,88.26865671641791,175.53731343283582,22.025286,88.26865670040472,29.803446,0.048009187,0.00024147515
2040000,0.08235355,97.48925081400219,193.6970684039088,24.477217,97.48925078439402,30.0888,0.048255995,0.00023967946
2100000,0.07393552,34.01847058857189,68.62,25.545008,34.0432273268138,67.906456,0.05130853,0.00023788377
2160000,0.047040842,49.5107876717636,99.22260273972603,25.394737,49.448376068804,49.451717,0.050228547,0.00023608693
2220000,0.06456353,89.56424242425146,178.0939393939394,27.353615,89.56424242817994,34.05202,0.04771303,0.00023429384
2280000,0.07279258,96.64822006360613,192.03559870550163,28.758219,96.64822002136206,34.959354,0.050575126,0.00023249772
2340000,0.06672188,94.55126582180398,187.95569620253164,30.020536,93.88095237186977,36.87497,0.04639652,0.00023069784
2400000,0.06881319,106.29679715294006,211.0747330960854,31.33771,107.18042701694888,37.723106,0.047434695,0.00022890042
2460000,0.07476077,114.65195312234573,227.4765625,31.999102,114.42918286968298,36.513554,0.049445834,0.00022710375
2520000,0.0669668,96.73366336716283,192.21122112211222,32.413155,96.73366331759065,41.835182,0.050295,0.00022530803
2580000,0.062003367,88.48941176297033,175.92352941176472,32.749302,88.48941172606804,44.109795,0.04681745,0.00022351304
2640000,0.06508157,80.82978141812679,160.86885245901638,32.28337,80.82978137057336,48.00282,0.048449323,0.00022171673
2700000,0.08403528,107.11335739934488,212.62815884476535,32.076275,107.44710140383762,38.857414,0.049768537,0.0002199179
2760000,0.08521854,108.48259259087068,215.3148148148148,32.572273,108.13763835685279,38.156723,0.04840451,0.0002181192
2820000,0.075109005,112.28264150574522,222.8,33.25889,112.28264146818304,38.432476,0.048505712,0.00021632237
2880000,0.076302074,112.66539923637086,223.6045627376426,33.12402,112.6653991638481,39.558857,0.04851278,0.00021452409
2940000,0.08656577,109.12499999879476,216.5625,33.2569,109.12499998203096,39.35174,0.0466324,0.00021272908
3000000,0.07406429,115.00351562234573,228.1953125,33.738903,115.00351563259028,38.35541,0.047004167,0.0002109306
3060000,0.06562878,121.3056224888587,240.58232931726909,34.225773,121.3056224488829,37.301636,0.04825012,0.00020907407
3120000,0.075665325,106.81115107768946,212.0503597122302,34.239635,106.81115105169283,41.785454,0.047846522,0.00020727792
3180000,0.080530494,108.40656934276114,215.1970802919708,34.267605,108.4065693096958,40.804607,0.049817774,0.00020548208
3240000,0.07804404,101.7846153841152,202.2062937062937,34.185993,101.78461536910984,43.452946,0.0471716,0.00020368514
3300000,0.073529206,111.4386617076552,221.15241635687732,34.419533,111.43866165242673,39.239666,0.04772394,0.00020188217
3360000,0.06771084,117.33058823352935,232.7764705882353,35.16571,117.73543303055088,40.06125,0.050683174,0.00020008432
3420000,0.075598404,106.48483754463145,211.36101083032491,34.91672,106.15395682021011,42.24435,0.048807014,0.00019829112
3480000,0.067848966,117.89051383309685,233.85375494071147,34.888744,117.89051382296641,39.504124,0.049950358,0.00019649505
3540000,0.057997745,124.45767634766972,246.746887966805,34.908016,124.45767631125153,37.09534,0.045545697,0.00019469709
3600000,0.055521753,125.3604347837684,248.59130434782608,35.216465,125.36043476151383,37.286736,0.048495185,0.000192901
3660000,0.06084321,126.08855932149089,250.02542372881356,35.255867,126.08855929819204,38.237503,0.04634189,0.00019110572
3720000,0.06365036,123.48467741882608,244.86693548387098,35.29568,123.64655862525407,38.06244,0.051149536,0.00018931212
3780000,0.0648412,121.35684647185427,240.65145228215766,35.23299,121.18049790453614,39.267216,0.051541846,0.00018751623
3840000,0.070213445,137.54954128397986,272.5321100917431,35.72408,137.4968036143747,35.241684,0.04860948,0.00018566451
3900000,0.073568754,124.24788135391171,246.34322033898306,35.510475,124.24788131779533,37.409237,0.04679315,0.00018387157
3960000,0.08130085,125.40209204956079,248.6234309623431,35.513428,125.40209206527247,36.327988,0.046778303,0.00018208048
4020000,0.086211406,120.91275720049937,239.75720164609052,36.262478,120.91275717618534,39.72729,0.04839855,0.0001802869
4080000,0.09417456,122.52571428624951,243.0081632653061,36.363712,122.80245900300683,40.61768,0.04773479,0.00017849231
4140000,0.08512951,125.08416666692743,248.05416666666667,35.74979,125.06541662861903,37.77752,0.051474355,0.0001766998
4200000,0.087168515,115.42549019303976,228.93725490196078,35.476475,115.20703121903352,41.641235,0.048197735,0.00017490496
4260000,0.08103567,121.17560975289926,240.34552845528455,35.19236,121.17560968578347,37.988117,0.050429605,0.0001731099
4320000,0.07064365,115.25387596714404,228.76356589147287,35.275257,115.47743193950171,40.73634,0.049679648,0.00017131552
4380000,0.07459176,117.81239999961853,233.688,35.367313,117.57330676283969,40.134247,0.04727323,0.00016951912
4440000,0.0644366,125.0883333339356,248.02083333333334,35.5642,125.08833327641089,37.375557,0.04740869,0.00016772101
4500000,0.060966153,97.60195439762713,193.93159609120522,35.722267,97.6019543500599,48.189888,0.04960328,0.0001659248
4560000,0.054546796,92.19808306385534,183.2364217252396,34.928406,92.19808301167747,49.443123,0.047245257,0.00016412922
4620000,0.061963107,121.07670682584904,240.08835341365463,34.742176,121.07670679844048,38.503162,0.047829315,0.00016227199
4680000,0.057213895,117.4031496042987,232.88582677165354,35.0252,117.40314962497847,39.316315,0.050703768,0.00016047554
4740000,0.060462646,112.51946564712597,223.2709923664122,35.196587,112.51946561846114,40.613895,0.04750904,0.00015868054
4800000,0.07357948,113.11749049216623,224.43726235741445,35.495422,113.11749048536721,40.134056,0.04759856,0.00015688594
4860000,0.07296915,131.04888888637225,259.7422222222222,35.577824,131.37232137418218,37.289944,0.049413204,0.00015508843
4920000,0.06788681,121.74732510322406,241.4485596707819,35.95826,121.48852454467875,39.13678,0.04704817,0.00015329322
4980000,0.070547804,129.6212765946033,256.9489361702128,35.71756,129.6212764849054,39.4827,0.048377074,0.00015150053
5040000,0.06513426,125.34576271158659,248.5084745762712,35.764294,125.34576268064774,38.824623,0.04985132,0.000149706
5100000,0.064916916,137.42710280195575,272.3224299065421,36.004612,137.4271027484787,36.90358,0.04976584,0.00014790932
5160000,0.083017446,131.4892376671992,260.68161434977577,36.464233,131.4892376418071,38.220387,0.047571797,0.00014611111
5220000,0.07603122,121.40952380841213,240.78571428571428,36.777885,121.40952378464124,41.059956,0.046322457,0.0001443184
5280000,0.07266744,145.37586206762955,287.95566502463055,37.016365,145.15891088176483,36.227955,0.049562637,0.00014252203
5340000,0.06936866,119.24715447159318,236.4878048780488,36.97635,119.53036438260484,40.928135,0.051121417,0.00014072686
5400000,0.06589621,131.5133620677837,260.67241379310343,36.916443,131.5133620521118,38.017162,0.049049143,0.00013887211
5460000,0.05808242,122.8597457628634,243.66525423728814,37.024128,122.85974571841248,41.132786,0.049662314,0.00013707732
5520000,0.071746,138.509722220263,274.4259259259259,37.050724,138.5097222496514,35.35931,0.050824303,0.00013527916
5580000,0.08070162,128.40686695009086,254.5107296137339,37.16369,128.4068668694455,39.76959,0.04753186,0.00013347849
5640000,0.083934754,127.37735042485417,252.491452991453,36.630806,127.37735041950504,39.098373,0.04966633,0.0001316788
5700000,0.08876583,120.44878048770796,238.8739837398374,36.885006,120.72816323552813,39.94369,0.044445835,0.00012988046
5760000,0.08064096,123.64139344289777,245.18032786885246,36.806168,123.81475407275997,40.47567,0.047440577,0.00012808575
5820000,0.076352134,139.30377358198166,276.02358490566036,36.542408,138.69530510398704,36.56115,0.046007436,0.00012629139
5880000,0.06990489,132.3457013566165,262.3122171945701,36.664,132.34570132148752,36.97028,0.048635423,0.00012449418
5940000,0.06547247,130.07792207521277,257.8787878787879,36.849575,130.07792201599517,39.78974,0.04858526,0.00012269506
6000000,0.06458836,144.72068965435028,286.66995073891627,36.99994,144.72068963878849,35.087585,0.048643075,0.00012089604
6060000,0.07780822,143.0176190468527,283.27142857142854,37.224705,143.0176190333707,34.269905,0.048960645,0.000119100034
6120000,0.08214227,140.172037913901,277.7251184834123,37.62994,140.17203791192358,37.177723,0.046377003,0.00011730116
6180000,0.07644326,135.48963963938456,268.4954954954955,37.8597,135.4896396151534,38.449673,0.047518156,0.00011550518
6240000,0.07036734,137.75209302292313,272.93488372093026,37.91728,137.75209298244744,37.103104,0.04677842,0.000113710565
6300000,0.05569722,139.47652582121148,276.36619718309856,37.891083,139.4765258196374,37.879395,0.04929489,0.000111912865
6360000,0.06279265,143.00047846758764,283.30143540669854,37.703213,143.0004784547541,35.16632,0.048386015,0.00011011293
6420000,0.0646462,135.89999999937623,269.3488372093023,37.511913,135.89999995952428,37.238525,0.044765443,0.00010831528
6480000,0.06824003,142.00144927455608,281.32367149758454,37.49202,142.00144924547362,36.765305,0.04863622,0.00010651564
6540000,0.069446094,145.037735847932,287.29716981132077,37.44146,145.03773583471775,36.05911,0.048615046,0.00010471349
6600000,0.07338892,142.94077669735094,283.20388349514565,37.667374,142.9407766808584,37.22628,0.04906738,0.00010291651
