Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
8640000,3.2042856,3.6782020581827966,309.9,2.0773518,0.16133301,3.678198019862175,0.23630482350941748,0.053336356,0.03152382,4.1253534e-05,0.037167016,0.6123279
8670000,3.2535462,3.4424021957731323,319.0860215053763,1.9102035,0.16023171,3.381440858687124,0.24857968668783864,0.033794302,0.030019375,4.0349118e-05,0.037250366,0.6463105
8700000,3.242749,3.2653167241102588,358.8095238095238,1.8139889,0.14446427,3.2624047916559946,0.2748423869876812,0.036876764,0.030505879,3.9444254e-05,0.03736196,0.587675
8730000,3.1940746,3.8430485410556714,290.4848484848485,2.065631,0.15611392,3.902783839389531,0.22412812173592322,0.047562398,0.029956976,3.8557177e-05,0.039452866,0.5754661
8760000,3.1756883,4.052162211808127,269.5315315315315,2.2218807,0.17019437,3.998486465161985,0.22073126872917553,0.052232657,0.035574988,3.7655693e-05,0.038444612,0.5692824
8790000,3.2114844,3.711656608110361,296.5959595959596,2.0418718,0.19040568,3.71159999900394,0.22362754597432083,0.04075217,0.031937554,3.6748977e-05,0.036891535,0.599749
8820000,3.2464066,3.612927720639725,321.3404255319149,1.8900026,0.16414744,3.6271536651410554,0.24724135110644918,0.050500616,0.03398904,3.5848152e-05,0.038023785,0.57842326
8850000,3.200989,3.8738849415874355,264.95283018867923,2.186943,0.17173016,3.8738849084332303,0.1991301721207938,0.04054135,0.032594487,3.49537e-05,0.037050955,0.555403
8880000,3.2135675,3.6466000399802696,308.970297029703,2.0169454,0.15138127,3.6930639934539795,0.2232670351676643,0.038917,0.029371707,3.4054556e-05,0.036445223,0.59760743
8910000,3.2054129,3.7610333911851974,259.462962962963,2.2093205,0.16033848,3.7065425746970706,0.20319963689824497,0.0404217,0.03163364,3.3126566e-05,0.037220445,0.59861994
8940000,3.105025,3.2638818773704603,365.92045454545456,1.8336984,0.13494052,3.3307591026479546,0.2666065894194286,0.049702764,0.033441015,3.224228e-05,0.036281344,0.59050953
8970000,3.1677148,3.955976701884113,246.58333333333334,2.2108305,0.13700067,3.906661666929722,0.19809462868918976,0.051499646,0.030895084,3.133688e-05,0.03885829,0.5722243
9000000,3.126548,3.7581423948782966,280.60360360360363,2.2035713,0.123545416,3.8114540700439936,0.20796689913012423,0.04817675,0.030150292,3.0416222e-05,0.037732955,0.570658
9030000,3.1673717,3.3460238495648635,341.10714285714283,1.8150462,0.105115406,3.2948964441523834,0.25810533536269387,0.036261115,0.034578238,2.9528517e-05,0.03657746,0.6102
9060000,3.2284214,3.734774614146789,264.3909090909091,2.221974,0.102964625,3.778211040234347,0.1965504535089392,0.037502587,0.030437907,2.8646176e-05,0.036927994,0.5626388
9090000,3.2088718,3.758514603236505,282.44545454545454,2.2409928,0.088845275,3.7046054552901877,0.20832083521580155,0.040361084,0.03326342,2.773943e-05,0.03575658,0.5709824
9120000,3.1655042,3.5926495497631024,300.35051546391753,2.0631578,0.074411,3.606298004486123,0.22988912119169017,0.0414937,0.029635618,2.6832735e-05,0.037423234,0.5458927
9150000,3.1840703,3.903013136518698,289.5981308411215,2.0741506,0.069714725,3.9492679412634866,0.21318886207662663,0.054411326,0.030436195,2.5954681e-05,0.037063334,0.55406994
9180000,3.1770647,3.3399494202323834,347.7721518987342,1.6899928,0.06427881,3.2856999963521956,0.2538825595751405,0.047828335,0.03259421,2.506443e-05,0.03483387,0.5927854
9210000,3.2374055,3.502389402412054,339.25531914893617,1.9125876,0.054522786,3.5023893327155013,0.252058725883352,0.05533775,0.03139696,2.4158233e-05,0.036761817,0.58789825
9240000,3.1751995,3.6064021279238774,305.11340206185565,2.0067816,0.036030926,3.6064020763967455,0.23250981443321583,0.036240213,0.032123685,2.3241719e-05,0.037000153,0.5712325
9270000,3.1353388,3.262733384815095,355.42857142857144,1.8177475,0.019672226,3.314084302948182,0.23730732264917298,0.041719414,0.033075895,2.2328291e-05,0.032995485,0.5984571
9300000,3.1549666,3.4023663552600256,325.97752808988764,1.9503607,0.02205014,3.3450899164328414,0.23651375688528747,0.02736755,0.029488478,2.1455398e-05,0.03580471,0.5363479
9330000,3.2437408,3.779758674238988,265.9396551724138,2.2528853,0.013863091,3.8237068745596656,0.18962842775187616,0.043794498,0.0342327,2.0584837e-05,0.0355073,0.56283915
9360000,3.135037,3.7103327651808424,278.3269230769231,2.1138163,0.0052302647,3.7103269272125683,0.20498143546641445,0.040682618,0.03298161,1.9665258e-05,0.036071677,0.5361635
9390000,3.204246,3.9812991807976252,266.5913043478261,2.2279167,0.0025487982,3.9383637894844186,0.1992020938417007,0.05496776,0.035453234,1.8755494e-05,0.035994567,0.5578677
9420000,3.2476015,3.784398091887923,281.45098039215685,2.1342251,0.015050215,3.7728495226048007,0.2142117470134013,0.03350437,0.030366255,1.7843038e-05,0.03654347,0.53979397
9450000,3.178453,3.70335144894679,299.4859813084112,2.1553574,-0.0183531,3.7149018474199154,0.20452958629983994,0.03962809,0.03177693,1.6946022e-05,0.033508632,0.5139649
9480000,3.2184587,3.7303131677082746,303.1212121212121,2.0880349,-0.036585633,3.730313103608411,0.2218392025573518,0.04306156,0.030368946,1.6074682e-05,0.03631836,0.5752361
9510000,3.2110624,3.91228964441875,237.32,2.3301916,-0.066826396,3.9519016108205243,0.1684394466179994,0.056008123,0.0287077,1.515972e-05,0.03512847,0.5278842
9540000,3.2306254,3.9506134959208015,245.99159663865547,2.299619,-0.07699904,3.900736150120487,0.18439645401569976,0.04601498,0.03193281,1.4243326e-05,0.03626924,0.54142225
9570000,3.238844,3.8032927817698114,281.3,2.243749,-0.061915476,3.806972716071389,0.20364210124720228,0.041574206,0.030794982,1.3333462e-05,0.03627255,0.57145673
9600000,3.1918,3.182134338324665,408.3142857142857,1.4672178,-0.018136906,3.261145715202604,0.2720767421381814,0.0469714,0.031303346,1.2421923e-05,0.033302493,0.5696059
9630000,3.227446,3.5239814409796963,327.3953488372093,1.8179126,-0.057884336,3.471983873296058,0.23530364234064674,0.05272045,0.029273657,1.1554768e-05,0.034340713,0.550828
9660000,3.22559,4.089331842450625,231.6046511627907,2.32062,-0.07280574,4.089331815409106,0.170798688679356,0.061212763,0.030758388,1.0669139e-05,0.03612783,0.52600473
9690000,3.2135034,3.680288037299324,307.85,2.0109303,-0.06057306,3.6686727163767574,0.22231943075629798,0.090784475,0.030638713,9.7554275e-06,0.034766354,0.5346355
